position,department,sonstiges_anforderungen,status_job,id,klinik,ort,status_klinik,kontaktname,email,telefon,von,bis,gehalt_von,gehalt_bis,job_description,long_note,export_timestamp,export_date
,,,hot,1006,,,,,,,48113-11-21,48113-11-21,,,,"Haben aktuell 70 MA und werden 85 in 2026
7 Standorte aktuell
770T Einwohner bei 4 Linearbeschleuniger
München hat bei 1,5 Mio 33 Beschleuniger
Monopolstellung
wollen ambulaten Diagnostik ausbauen
Wachstum p.a. 15-20%
1 3.0T MRT in Prien
2. MRT kommen nach Rosenheim
RoMed Konzern macht 25 Mio Umsatz
vorher 40 Min PET/CT jetzt nur noch 6 Min
machen aktuell am Tag 10 MRT und 28 PET/CT
pro Kernspin 1h Zeit


Für Konitzer und Kirchhoff
Brauchen 3 Verträge. 
1. mit MVZ
2. Mit Klinik für 5 Stunden für die Abrechnung
3. der sagt dass nur der erste zählt
Aus 2 ist die Entgeldgruppe egal.
Bei Kirchhoff Department Name zB Leitung Onko-PETo der Onko-MRT
Für Department Leitung gibt es einen Finanziellen Bonus on Top
100% bei 48h Woche
runtergerechnet wird mit den Stunden bei dem Gehalt und bei den Bonus Prozenten.",2026-01-25 14:02:07,2026-01-25
"Facharzt, Oberarzt",Radiologie,,cold,1007,,,,Dr. Lier - Ltd. OA,Tel.,,2025-04-26,2025-10-23,,,,"Im Team sind 1 CA, 12 Ltd OA und OA, sowie 7 AA.
4 MRT, 4 CT, 2 PET/CT, Röntgen und Sonographie, PACS ist von Sectra.
Man muss keine Dienste machen, weil diese so gut bezahlt werden, dass alle sie machen wollen. 
Erwartet werden ca. 15-20 MRT-Befunde + Röntgen und Ultraschall pro Tag.
Der Betriebsrat ist streng, gute Arbeitsbedingungen. 

Gesucht wird jemand für die Schnittbilddiagnostik. 
Weiterbildung in Kardio- und Prostata-Diagnostik möglich und gewünscht. Weiterbildung Fachkunde-Nuklearmedizin (zum Befunden am PET/CT) möglich!",2026-01-25 14:02:07,2026-01-25
"Assistenzarzt, Facharzt",Radiologie,,cold,1008,,,,Herr Segali,Tel.,,2025-05-16,2025-11-12,,,,"Sehr geehrter Herr Dr. Müller,

vielen Dank, dass Sie mich in Ihr Netzwerk aufgenommen haben! 

Für unseren Mandanten an der Ostsee suchen wir zum nächstmöglichen Zeitpunkt einen Facharzt/Oberarzt für Diagnostische und/oder Interventionelle Radiologie(m/w/d).

Unser Mandant betreibt in der Region ein MVZ, das an eine Klinik der Schwerpunktversorgung (500 Betten) angeschlossen ist. Sie erwartet dort das gesamte Spektrum der ambulanten und stationären radiologischen Versorgung inkl. MRT, CT, konv. Röntgen, Cardio-MRT, viel Angiografie und diagnostische Neuroradiologie, jedoch keine Thrombektomien und auch keine interventionelle Neuroradiologie. Die eingesetzten Geräte sind neu (2025) kommen von der Fa. Philips. Kenntnisse in der Angiografie, sowie im Cardio-MRT wären wünschenswert, jedoch kein muss. 

Des Weiteren erwartet Sie ein Team mit insgesamt 7 fachärztlichen Kolleginnen und Kollegen, sowie eine flache Hierarchie. 

Ein unbefristeter AT-Vertrag ohne Dienste rundet das Angebot ab. Gleichzeitig unterstützt unser Mandant Sie auch bei einem Umzug in die familienfreundliche Region.

Klingt das interessant für Sie?

Gerne stelle ich Ihnen unseren Mandanten und weitere Details in einem unverbindlichen und diskreten Gespräch vor und freue mich auf Ihre Rückmeldung!

Mit freundlichen Grüßen",2026-01-25 14:02:07,2026-01-25
"Facharzt, Oberarzt, Standortleiter",Radiologie,,cold,1009,,,,Herr Segali,Tel.,,2025-06-17,2025-12-14,,,,"Gesucht wird ein erfahrener Radiologe, idealerweise mit Führungserfahrung und Erfahrung im ambulanten Bereich. Gerne mit Zusatzqualifikationen in Mammografie.
Des Weiteren übersende ich Ihnen gerne schonmal den Link zum Standort in Engelskirchen: https://www.med360grad.de/radiologie-engelskirchen/
Sowie zum angeschlossenen KH: https://klinik-engelskirchen.gfo-online.de/medizin-und-therapie/medizin
Es ist ein vergleichsweise kleiner Standort mit jeweils einem MRT, CT und konv. Röntgen. Des Weiteren wird dort an einem Nachmittag pro Woche Brustdiagnostik gemacht, wobei Sie aber von Ihrem Arbeitsplatz auch gerne am Screening in der Med360 Gruppe mitarbeiten können. Unterstützt werden Sie dabei von einem Facharztkollegen, der montags und freitags jeweils 10 Stunden da ist, einem weiteren Kollegen, der mittwochs den Spätdienst macht und einer Assistenzärztin, die donnerstags und freitags da ist. Insgesamt kann man pro Arzt mit ca. 20 MRT-, 20 CT- + x Röntgen-Befunden rechnen. Das Gehaltsbudget bei der Position (ich habe nach unserem Gespräch nochmal mit dem Personalleiter telefoniert) ist 180k, jedoch denke ich, dass man das auch auf 185k verhandeln kann, wenn man sich erstmal kennengelernt hat.",2026-01-25 14:02:07,2026-01-25
,,,cold,1010,,,,,,,48113-11-21,48113-11-21,,,,"Sehr geehrter Herr Dr. Müller,

ich suche für ein MVZ in Remscheid zum nächstmöglichen Zeitpunkt oder nach Vereinbarung einen motivierten Facharzt für Radiologie in Vollzeit oder Teilzeit. 

Die vakante Position ist eine unbefristete Stelle an einem MVZ, das die radiologische Versorgung von ambulanten und stationären Patienten an einer Klinik der Maximalversorgung (600+ Betten) übernimmt.

Sie arbeiten in einem Team von 5 Kolleginnen und Kollegen, sowie dem nicht-ärztlichen Personal. Ihre Tätigkeitsschwerpunkte und zugleich das aktuelle radiologische Leistungsspektrum des MVZ umfasst u.a. die Schnittbild- und Kardio-Diagnostik, sowie das konv. Röntgen und CT-gesteuerte Interventionen. Des Weiteren werden eine entsprechende interdisziplinäre Kollegialität, sowie Durchsetzungsvermögen vorausgesetzt. Gerne dürfen Sie auch eigene Schwerpunkte und Behandlungsmethoden mitbringen und somit das Leistungsspektrum nach eigenem Wunsch gestalten bzw. erweitern. 

Die radiologische Abteilung verfügt aktuell über zwei 1.5 Tesla MRTs, einem 128 und 16 Zeilen CT, sowie 2 Röntgenarbeitsplätzen und einer Durchleuchtung, wobei alles von Philips ist. Aktuell läuft das MRT zwischen 7-19 Uhr, wobei das Haus nachts an eine Teleradiologie angeschlossen ist. 

Ich suche eine motivierte Persönlichkeit mit interdisziplinärer Kompetenz, die Lust auf eine neue berufliche Herausforderung hat. 

Unser Mandant bietet Ihnen einen unbefristeten AT-Vertrag ohne Dienste und ein attraktives Gehaltspaket, was sich nach Ihrer Erfahrung und dem Arbeitspensum richtet.

Klingt das interessant für Sie?

Ich freue mich auf Ihre Rückmeldung und verbleibe bis dahin

Mit freundlichen Grüßen",2026-01-25 14:02:07,2026-01-25
"Facharzt, Standortleiter",Radiologie,,cold,1011,,,,Prof. Streitparth,,,48113-11-21,48113-11-21,,,,"gerne möchte ich unseren Kontakt aus 2023 aufgreifen und mich erkundigen, ob Sie aktuell offen für eine spannende berufliche Herausforderung sind? Für unseren Mandanten in Köln suchen wir ab sofort und nach Vereinbarung nach einer motivierten Fachärztin für Radiologie! 

Bei der Position unterstütze ich Frau Schimmelpenning. Sie ist bei unserem Mandanten Strahleninstitut Köln (https://strahleninstitut.de/standorte/dom-str-koeln) für das ärztliche Personal zuständig. Dort würde man sich über eine motivierte Ärztin freuen, wobei dem ärztlichen Leiter die Bereitschaft zur fachlichen Weiterbildung besonders wichtig ist. Die aktuellen Arbeitszeiten in der Praxis sind Mo.-Fr. 7-21 Uhr, wobei es ein 2-Schicht-System mit Früh- und Spätdienst gibt, jedoch keine Dienste und auch keine Wochenenden.

Das Strahleninstitut Köln betreibt insgesamt 6 Standorte, wobei Sie dort das gesamte Spektrum der Diagnostischen Radiologie erwarten würde. Bei dieser Möglichkeit wäre wichtig, dass Sie Flexibilität mitbringen und auch bereit sind standortübergreifend in Köln auszuhelfen. Dafür erwartet Sie ein internationales Team und die Möglichkeit, sich fachlich weiterzuentwickeln bzw. auch in Ihren Schwerpunkten weiter zu vertiefen.

Sie erwartet weiterhin ein attraktives AT-Gehaltspaket, dass sich nach Ihrer Erfahrung und dem gewünschten Pensum richtet. 

Klingt das interessant für Sie? Über eine positive Rückmeldung würde ich mich sehr freuen.",2026-01-25 14:02:07,2026-01-25
"Facharzt, Oberarzt",Gynäkologie,,cold,1012,,,,Herr Müller,Tel.,,2025-09-29,2026-03-28,,,,"Gyn RoMed
Wasserburg
große Gyn praxis
ursprünglich 4 jetzt 2 eine favon ist die CA aber die zweite hat gekündigt zum 2025/2026
FA für Gynäkologie mit OA Gehalt 
120.000
800-900 geburten 
ganz allgemeine Praxisspektrum
pro Quartal 900 Fälle kommen in die Praxis 2023
2025 schon über 1000 fälle pro Quartal (Grundpauschalen) 
asap

Im Auftrag unseres Mandanten auf Süddeutschland suchen wir ab sofort oder nach Vereinbarung einen engagierten FA / OA für Gynäkologie und Geburtshilfe (m/w/d)! 

Unser Mandant betreibt ein etabliertes gynäkologische MVZ, wobei Sie gemeinsam mit einer Kollegin die ganzheitliche (Vorsorge, Diagnostik, Therapie, sowie Schwangerschaftsbetreuung und pränatale Diagnostik) Versorgung der Patient:innen sicherstellen. Ihre Tätigkeitsschwerpunkte und zugleich das gynäkologische Leistungsspektrum des MVZ umfasst ein breites Angebot von Leistungen für Kinder, Mädchen, Frauen und Familien. Sie unterstützen Ihre Patient:innen bei allen Fragen und Problemen in den Wechseljahren, bei der Familienplanung, der Schwangerschaft, der Geburt, sowie auch bei onkologischen Fragestellungen, wobei Sie eigenständig alle notwendigen Untersuchungen durchführen. Unterstützt werden Sie dabei zu jeder Zeit von einem freundlichen und kollegialen Praxisteam aus medizinischen Fachangestellten und Hebammen. 

Unser Mandant wünscht sich eine empathische und kollegiale Persönlichkeit, die auch gerne interdisziplinär mit den Kolleginnen und Kollegen der anderen Fachbereiche zusammenarbeitet. Dafür erwartet Sie ein mitarbeiterorientierter Arbeitgeber, der Ihnen zahlreiche bezahlte Weiterbildungsmöglichkeiten, sowie weitere Benefits bietet. Ein unbefristeter Vertrag mit einer erfahrungsgerechten Vergütung nach VKA, sowie die familienfreundliche Region, mit zahlreichen Freizeitangeboten in schönster Natur, runden das Angebot ab. 

Klingt das interessant für Sie?",2026-01-25 14:02:07,2026-01-25
"Assistenzarzt, Facharzt, Oberarzt",Radiologie,,hot,1013,,,,Dr. Ochtrop,LinkedIn,,2025-09-29,2026-03-28,,,,"Lüdenscheid
AA frei können aber auch FA 
Herz Q2/Q3
Prostata ist er dran
MSK Q2
OA Teleradiologische Dienste
AA und FA nur vor Ort

Im Auftrag unseres Mandanten aus NRW suchen wir ab sofort oder nach Vereinbarung einen engagierten AA im fortgeschrittenen Weiterbildungsabschnitt / FA / OA für Radiologie (m/w/d)! 

Unser Mandant betreibt ein Haus der Maximalversorgung mit 1000 Betten, wobei die radiologische Abteilung über 2 MRT (1,5 und 3,0 T), 1 CT (Doual Source) + 1 CT in der Notaufnahme, sowie 2 weitere CT im Haus verfügt. Eine Ausbildung und Mitarbeit in der interventionellen Radiologie und Neuroradiologie wäre ebenfalls möglich. Der Stellenschlüssel in der Abteilung ist 1 CA - 2 Ltd. - 4 OA - 6 AA. 

Unser Mandant wünscht sich eine empathische und kollegiale Persönlichkeit, die auch gerne interdisziplinär mit den Kolleginnen und Kollegen der anderen Fachbereiche zusammenarbeitet. Sie erwartet ein junger Chefarzt mit einer entsprechend flachen Abteilungshierarchie, wobei viel Wert auf die Förderung der Kolleginnen und Kollegen gelegt wird. Gleichzeitig bekommen Sie die Möglichkeit und auch die entsprechenden Fallzahlen, um sich in der Diagnostik verschiedener Bereiche zertifizieren zu lassen: MSK Q1 und Q2, Prostata Q1 und Q2, sowie Herz Q1 bis Q3! 

Eine erfahrungsgerechte Vergütung nach Tarif, sowie die familienfreundliche Region, mit zahlreichen Freizeitangeboten in schönster Natur, runden das Angebot ab.

Klingt das interessant für Sie?",2026-01-25 14:02:07,2026-01-25
Facharzt,Radiologie,,cold,1014,,,,Herr Segali,Tel.,,2025-10-08,2026-04-06,,,,"Im Auftrag unseres Mandanten aus NRW suchen wir ab sofort oder nach Vereinbarung einen engagierten FA / OA für Radiologie (m/w/d) - 144.000€ p.a. + Dienstwagen mit privater Nutzung, ohne Dienste! 

Unser Mandant betreibt mehrere Praxis- und MVZ-Standorte im Rheinland und deckt dabei ein breites Spektrum in der Diagnostischen Radiologie ab. 

Sie erwartet eine abwechslungsreiche Tätigkeit an verschiedenen Standtorten unseres Mandanten, wobei die unterschiedliche Anfahrtszeit auch als Arbeitszeit angerechnet wird. Ihre alltäglichen Schwerpunkte sind die Schnittbilddiagnostik, sowie das digitale und konv. Röntgen. Selbstverständlich sind auch weitere fachliche Schwerpunkte wünschenswert, können aber auch im Verlauf der Tätigkeit mit der Zeit erworben werden. Gerne unterstützt unser Mandant Sie dazu mit bezahlten Fort- und Weiterbildungen.

Die Kolleginnen und Kollegen unseres Auftraggebers wünschen sich eine kollegiale Persönlichkeit mit hoher sozialer Kompetenz und einer der Aufgabe entsprechenden Bereitschaft zur Flexibilität. Dafür erwartet Sie eine Vergütung von 144.000€ p.a., 32 Urlaubstage, sowie ein Dienstwagen inkl. Tankkarte und einer privaten Nutzungsberechtigung. 

Klingt das interessant für Sie?",2026-01-25 14:02:07,2026-01-25
Standortleiter,Orthopädie & UCH,,hot,1017,,,,Sebastian Knobloch,,,48113-11-21,48113-11-21,,,"Standortleiter Orthopädie - Düsseldorf-Süd - ca. 160.000 € p.a. VB | 💼 Vollzeit | Das bieten wir Ihnen 💶 Attraktives Gehaltspaket bis ca. 160.000 € p.a. (VB), ggf. zzgl. variabler Bestandteile 🩺 Leitende Position als Standortleiter mit echtem medizinischen & organisatorischen Gestaltungsspielraum 🏥 Moderne, sehr gut organisierte Praxisinfrastruktur in Düsseldorf-Süd ⏰ Planbare, geregelte Arbeitszeiten, keine klassischen Klinik-/Bereitschaftsdienste 🤝 Kurze Entscheidungswege, flache Hierarchien, direkter Austausch mit der Geschäftsführung 🚀 Möglichkeit, eigene medizinische Schwerpunkte (konservativ / sportmedizinisch / ambulant-operativ) zu entwickeln 📈 Langfristige, stabile Perspektive in einer wachsenden Praxisgruppe mit Gestaltungsspielraum Ihre Rolle Medizinische und organisatorische Leitung des Standortes Düsseldorf-Süd Fachärztliche Versorgung im gesamten Spektrum der konservativen Orthopädie und Unfallchirurgie Sportmedizinische Betreuung von Patient:innen Präzise Diagnostik, Aufklärung und struk","Der Kandidat soll bestenfalls aus der Ambulanz kommen. 
Führungserfahrung 
keine Schwerpunkte aber nice to have 
Igeleistungen vorantreiben 
der aktuelle Standortleiter soll ersetzt werden , 
er weiß aber nichts davon 
Gehalt 150k plus Leitungszulage",2026-01-25 14:02:07,2026-01-25
,Orthopädie & UCH,,hot,1018,,,,,,,48113-11-21,48113-11-21,,,"Ärztlicher Direktor / Standortleiter Orthopädie (m/w/d) 📍 Bergisches Land / Großraum Düsseldorf | 💼 Vollzeit | 💶 attraktives Gehaltspaket (z. B. bis ca. 160.000 € p.a. VB) Das bieten wir Ihnen 💶 Attraktives Vergütungspaket mit Spielraum je nach Erfahrung (z. B. bis ca. 160.000 € p.a. VB) 🏗 Aufbau aus erster Reihe: Sie etablieren eine neue orthopädische Praxis in bestehenden, modernen Räumlichkeiten 🩻 Interdisziplinäres Umfeld: Enge Zusammenarbeit mit einer bereits etablierten Radiologie am selben Standort 🩺 Gestaltungsspielraum: Medizinische Ausrichtung, Prozesse, Teamzuschnitt – Sie geben die Richtung vor ⏰ Planbare, geregelte Arbeitszeiten im ambulanten Setting 🤝 Kurze Entscheidungswege, direkter Draht zur Geschäftsführung 📈 Langfristige Perspektive als ärztlicher Kopf eines wachsenden Standorts Ihre Rolle Ärztliche Gesamtverantwortung als Standortleiter / Ärztlicher Direktor Orthopädie (m/w/d) Aufbau und strukturelle Entwicklung der neuen orthopädischen Praxis im Verbund mit der bestehende","momentan eine Radiologie drunter 
Ziel ist es eine Orthopädie aufzubauen 
Der Kandidat soll Erfahrung aus der Ambulanz mitbringen 
konservativ 
Igeleistungen anbieten",2026-01-25 14:02:07,2026-01-25
Facharzt,Strahlentherapie,,hot,1020,,,,Dr. Kasemian,Tel.,,2025-11-24,2026-05-23,,,https://rheinische-radiologie.koeln/de/karriere.html,"Sehr geehrter Herr Dr. Müller, 

im Auftrag unseres Mandanten suchen wir zum nächstmöglichen",2026-01-25 14:02:07,2026-01-25
Chefarzt,Orthopädie & UCH,,hot,1022,,,,Frau Engelbrecht,Tel.,,2025-12-04,2026-06-02,,,https://romed-jobs.de/de/jobs/31198/chefarzt-chefarztin-endoprothetik-mwd-gestalten-sie-spitzenmedizin-am-chiemsee-mit,"aktuell werden Gespräche mit 2 Kandis geführt
Es gibt 3 Praxen mit 6 Kooperationsärzten die aktuell in Prien operierer und Endoprothetik machen
Haus hat 167 Betten und Intensiv und 24/7 ZNA
Unfallchirurgie Dr. Prinbs (UCH)
Elektives Spektrum soll der neue CA aufbauen. Die Endoprothetik soll in Prien gebündelt werden. Die Praxen sind 2 in Rosenheim und 1 in Traunstein.
Man hatalle 4 Endo-Leistungsgruppen beantragt. 
Es gibt einen KV Sitzt auf den man Patineten in der Sprechstunde akquirieren soll. Auch bei Ärzten in der Umgebung vorstellen. 
Abteilung aufbauen mit Hand ON 
Entscheiden Material
Struktur und Prozesse
es gibt aktuell nur einen Leitfaden an dem sich alle halten. 
Team
aktuell Sekretariat + 1 OA mit Endoprothetik in 60% TZ
gerne OA mitbringen
AA für die Statuin werden von den Allgm. Unfallchirurgie kommen. Später dann eigene.
Aufbau soll 5-10 Jahre gehen. 
Kein Gehaltsbudget.
Aktuell werden ca. 1000 Endo Fälle p.a.
auch Ltd. OA mit Erfahrung möglich. 
Haben eine Marketing Abteilung die unterstützt.",2026-01-25 14:02:07,2026-01-25
Facharzt,"Radiologie, Nuklearmedizin",,hot,1023,,,,Dr. Mergen,,,2025-12-11,2026-06-09,,,,"Doppelfacharzt (m/w/d) – Radiologie / Nuklearmedizin 

bis 240.000€ p.a. | Süddeutschland | neues Highend-PET/CT + 3T-MRT 

„Qualität vor Quantität – Patientenwohl vor Gewinnmaximierung!“ 
Im Auftrag unseres Mandanten suchen wir einen motivierten Teamplayer, der sich mit dieser Aussage identifizieren kann. 

Unser Angebot
•Attraktives onkologisches Spektrum mit PET/CT, SPECT/CT, MRT und Bildfusionen. Keine Szintigraphien – keine Schilddrüsen.
•Großer Gestaltungsspielraum und die Möglichkeit zum Aufbau eines eigenen Schwerpunkts (falls gewünscht) – z.B. Kardio-PET/CT, Kardio-PET/MRT, Neuro-PET/CT, Neuro-PET/MRT.
•Kollegiales Umfeld und eine enge Zusammenarbeit in einem gemeinsamen Neubau für die Radiologie, Nuklearmedizin und Strahlentherapie. 
•Individuelle Arbeitszeiten in Vollzeit oder Teilzeit. 
•Einzigartiges Vergütungspaket mit einer Umsatzbeteiligung. 
•Familienfreundliche Region – arbeiten, wo andere Urlaub machen. 


Ihr Profil
•Facharzt (m/w/d) für Radiologie und Nuklearmedizin
•Lust auf eine neue berufliche Herausforderung und ein kurzes Telefonat 😊 

Ihre Kontaktaufnahme wird selbstverständlich streng vertraulich behandelt. 

👉 Bewerben Sie sich direkt über LinkedIn oder hinterlassen Sie uns eine Nachricht: alexander.likhachev@rheincruiters.de oder 0151/158 80 209",2026-01-25 14:02:07,2026-01-25
Facharzt,Radiologie,,hot,1024,,,,Herr Segali,Tel.,,2025-12-17,2026-06-15,,,,"ist noch nicht ausgeschrieben. 
Leitung MVZ in Hilden https://www.med360grad.de/radiologie-hilden/
1 Leiter + 4-5 Ärzte 
180-185k - 168+12/15
viel Arbeit
2x 1.5T MRT + 2 CT (eins neu 12/2025 Kardio-Fähig). + Röntgen
Lungenscreening soll auch kommen
Prostata möglich
ab 01.04.2025
1 neues CT + Röntgen auf einem Stockwerk für KH und der Rest für ambulante Versorgung. 
gerne jemand jung und motiviert

Standortleiter Radiologie (m/w/d)

180.000€ p.a. | Düsseldorf | keine Dienste 

Im Auftrag unseres Mandanten suchen wir einen motivierten Arzt, der sich eine neue berufliche Herausforderung mit Gestaltungsspielraum und Verantwortung wünscht.

Unser Angebot
•Attraktives diagnostisches Spektrum: MSK-, Neuro-, Kardio- und Prostata-Diagnostik, sowie Lungenscreening.
•Moderne Ausstattung: 2x MRT, 2x CT und Röntgen.
•Kollegiales Umfeld: Sie erwartet ein Team von 4 Ärztinnen und Ärzten, sowie ein gesunder Personalschlüssel mit nicht-ärztlichem Personal. 
•Praxisübliche Arbeitszeiten ohne Dienste. 
•Attraktives Vergütungspaket mit Fixgehalt und variablen Tantiemen
•Familienfreundliche Region mit hoher Lebensqualität in Düsseldorf und Umgebung


Ihr Profil
•Facharzt (m/w/d) für Radiologie mit fundierter Erfahrung in der diagnostischen Radiologie (speziell in der MSK-Diagnostik). 
•Zusätzliche Fachkenntnisse in der Neuro-, Kardio- und Prostata-Diagnostik, sowie im Lungenscreening wünschenswert, jedoch keine Pflicht. 
•Erfahrung im ambulanten Sektor. 
•Lust auf eine neue berufliche Herausforderung und ein kurzes Telefonat 😊 

Ihre Kontaktaufnahme wird selbstverständlich streng vertraulich behandelt. 

👉 Ich freue mich auf Ihre Bewerbung:
alexander.likhachev@rheincruiters.de oder 0151/158 80 209


Map Markierung bitte auf Düsseldorf setzen",2026-01-25 14:02:07,2026-01-25
