conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,Kosmetikchemiker/Kosmetikchemikerin,released,Kosmetikchemikerin | Kosmetikchemiker,"Kosmetikchemiker/Kosmetikchemikerin entwickeln Rezepturen, um neue Kosmetika zu schaffen und zu testen und bestehende Kosmetika zu verbessern, z. B. für Parfüms und Duftstoffe, Lippenstifte, wasserfeste Lotionen und Schminke, Haarfärbemittel, Seifen und Detergenzien mit besonderen Eigenschaften, topische Arzneimittel oder Nahrungsergänzungsmittel.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,Chemiker/Chemikerin
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,Umweltwissenschaftler/Umweltwissenschaftlerin,released,Umweltwissenschaftler | Umweltwissenschaftlerin,"Umweltwissenschaftler/Umweltwissenschaftlerinnen ermitteln Probleme und finden Lösungen, um Umweltgefahren so gering wie möglich zu halten, indem sie u. a. Luft-, Wasser- und Bodenproben auswerten. Sie beraten zu oder entwickeln Umweltmaßnahmen und sind bestrebt, die Wasserversorgung zu verbessern und Abfalldeponien zu bewirtschaften. Umweltwissenschaftler/Umweltwissenschaftlerinnen führen Umweltverträglichkeitsprüfungen durch und analysieren die Umweltauswirkungen von neuen Lösungen, Baustellen oder Umweltveränderungen und gewährleisten dabei, dass die Umweltvorschriften eingehalten werden.",http://data.europa.eu/esco/isco/C2133,Umweltwissenschaftler
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,Soziologe/Soziologin,released,Wirtschaftssoziologe | Industriesoziologin | Sozialforscherin | Sozialwissenschaftler | Sozialökonomin | Sozialwissenschaftlerin | Wirtschaftssoziologin | Gesellschaftswissenschaftlerin | Soziologin | Kriminalsoziologin | Kriminalsoziologe | Soziologe | Genderwissenschaftler | Gesellschaftswissenschaftler | Sozialforscher | Genderwissenschaftlerin | Gerontologe | Sozialökonom | Gerontologin | Industriesoziologe,"Soziologen untersuchen das Sozialverhalten und die Art und Weise, wie Menschen sich als Gesellschaft organisieren. Sie erforschen und erklären die Herausbildung von Gesellschaften, indem sie deren rechtliche, politische und wirtschaftliche Systeme und ihre kulturellen Ausdrucksformen beschreiben.",http://data.europa.eu/esco/isco/C2632,"Soziologen, Anthropologen und verwandte Wissenschaftler"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,Biophysiker/Biophysikerin,released,Biophysiker | Biophysikerin,"Biophysiker/Biophysikerinnen untersuchen die Beziehung zwischen lebenden Organismen und Physik. Sie führen Forschungsarbeiten über lebende Organismen auf der Grundlage der physikalischen Methoden durch, die darauf abzielen, die Komplexität des Lebens zu erklären, sagen Muster vorher und ziehen Schlussfolgerungen zu Aspekten des Lebens. Die Forschungsbereiche von Biophysikern/Biophysikerinnen umfassen DNA, Proteine, Moleküle, Zellen und Umgebungen.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biologe/Biologin
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,Medienwissenschaftler/Medienwissenschaftlerin,released,Medienwissenschaftler | Medienforscher | Medienforscherin | Medienwissenschaftlerin,"Medienwissenschaftler erforschen die Rolle und die Auswirkungen von Medien auf die Gesellschaft. Sie beobachten und dokumentieren die Nutzung verschiedener Arten von Medien, z. B. Zeitungen, Radio und Fernsehen, und die Reaktion der Gesellschaft.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,Anthropologe/Anthropologin
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,Hochschullehrkraft für Krankenpflege,released,Dozentin für Gesundheits- und Krankenpflege | ProfessorIn für Pflegewissenschaften | Lehrbeauftragte für Palliativpflege | Lehrbeauftragter für Palliativpflege | Dozent für Gesundheits- und Krankenpflege,"Hochschullehrkräfte für Krankenpflege sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen und oft Ärzte/Ärztinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Krankenpflege, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Krankenpflege-Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,Meteorologe/Meteorologin,released,Meteorologin | Meteorologe,"Meteorologe/Meteorologinnen untersuchen klimatische Prozesse, messen das Wetter, sagen das Wetter vorher und beraten verschiedenste Nutzer von Wetterinformationen. Sie erarbeiten Wettervorhersagemodelle, entwickeln Instrumente zur Erhebung meteorologischer Daten und erstellen Statistiken und Datenbanken.",http://data.europa.eu/esco/isco/C2112,Meteorologen
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,Ingenieur Elektromagnetik/Ingenieurin Elektromagnetik,released,Ingenieurin Elektromagnetik | Ingenieur Elektromagnetik,"Ingenieure Elektromagnetik/Ingenieurinnen Elektromagnetik entwerfen und entwickeln elektromagnetische Systeme, Geräte und Komponenten wie Elektromagnete in Lautsprechern, elektromagnetische Schlösser, leitende Magnete für MRT-Geräte und Magnete für Elektromotoren.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,Ingenieur Elektrotechnik/Ingenieurin Elektrotechnik
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,Archäologe/Archäologin,released,Archäologin | Archäologe,"Archäologen erforschen Zivilisationen und Siedlungen früherer Zeiten, indem sie von diesen hinterlassene Gegenstände sammeln und untersuchen. Gestützt auf die Untersuchung von Gegenständen, Bauwerken, Fossilien, Relikten und Artefakten, die von Völkern der Vergangenheit zurückgelassen wurden, analysieren sie ein breites Spektrum von Themen wie soziale Hierarchien, Sprache, Kultur und Politik und ziehen Schlussfolgerungen daraus. Archäologen verwenden verschiedene interdisziplinäre Methoden wie Stratigraphie, Typologie, 3D-Analyse, Mathematik und Modellierung.",http://data.europa.eu/esco/isco/C2632,"Soziologen, Anthropologen und verwandte Wissenschaftler"
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,Physiologe/Physiologin,released,Physiologe | Physiologin,"Physiologe/Physiologinnen studieren und betreiben Forschungsarbeiten zur Funktionsweise verschiedener lebender Organismen, ihrer Zusammensetzung und ihrer Wechselwirkungen. Sie vollziehen nach, wie lebende Systeme auf Faktoren wie Krankheiten, körperliche Betätigung und Stress reagieren, und nutzen diese Informationen, um Methoden und Lösungen zu entwickeln, mit denen die Wirkung dieser Stimuli im Organismus ausgeglichen werden kann.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biologe/Biologin
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,Datenwissenschaftler/Datenwissenschaftlerin,released,Datenwissenschaftlerin | Data Scientist | Datenwissenschaftler,"Datenwissenschaftler finden und interpretieren reichhaltige Datenquellen, verwalten große Datenmengen, führen Datenquellen zusammen, sorgen für die Konsistenz der Datensätze und erstellen Visualisierungen, um die Daten zu veranschaulichen. Sie erstellen anhand der Daten mathematische Modelle, präsentieren und vermitteln datenbezogene Erkenntnisse an Experten und Wissenschaftler in ihrem Team sowie ggf. an eine nicht fachkundige Öffentlichkeit und geben Empfehlungen zur Verwendung der Daten ab.",http://data.europa.eu/esco/isco/C2511,Systemanalytiker
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,Hochschullehrkraft für Betriebswirtschaftslehre,released,ProfessorIn für Betriebswirtschaftslehre | Dozent/in für Betriebswirtschaftslehre | Hochschullehrerin für Unternehmensführung | Universitätslehrkraft für Unternehmensführung | Hochschullehrer für Unternehmensführung | Universitätslehrer für Betriebswirtschaftlehre | Universitätslehrerin für Betriebswirtschaftlehre,"Hochschullehrkräfte für Betriebswirtschaftslehre sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Betriebswirtschaftslehre, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen betriebswirtschaftlichem Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,Hochschullehrkraft für Geowissenschaften,released,Dozent/in für Geowissenschaften | Hochschulassistentin für Geowissenschaften | ProfessorIn für Erdwissenschaften | Hochschulassistent für Geowissenschaften | Universitätslehrer für Erdwissenschaften | Universitätslehrerin für Erdwissenschaften,"Hochschullehrkräfte für Geowissenschaften sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, den Geowissenschaften, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem Gebiet der Geowissenschaften Forschungsarbeiten durch, veröffentlichen die gewonnenen Erkenntnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,Ingenieur Optoelektronik/Ingenieurin Optoelektronik,released,Ingenieur Optoelektronik | Ingenieurin Optoelektronik,"Ingenieure Optoelektronik/Ingenieurinnen Optoelektronik entwerfen und entwickeln optoelektronische Systeme und Geräte wie UV-Sensoren, Fotodioden und LEDs. Die Optoelektronik vereint technische Optik und Elektronik, um diese Systeme und Geräte zu gestalten. Ingenieure /Ingenieurinnen Optomechanik führen Forschungsarbeiten durch, führen Analysen durch, testen die Geräte und überwachen die Forschung.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,Ingenieur Elektronik/Ingenieurin Elektronik
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,Sozialarbeitswissenschaftler/Sozialarbeitswissenschaftlerin,released,Sozialarbeitswissenschaftlerin | Sozialarbeitswissenschaftler,"Sozialarbeitswissenschaftler leiten Forschungsprojekte mit dem Ziel, soziale Fragen zu untersuchen und darüber zu berichten. Dabei sammeln sie zunächst mithilfe von Interviews, Fokusgruppen und Fragebögen Informationen. die sie dann mithilfe von Software ordnen und auswerten. Sie analysieren soziale Probleme und Bedürfnisse sowie unterschiedliche Vorgehensweisen und Verfahren, um darauf zu reagieren.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,Soziologe/Soziologin
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,Hochschullehrkraft für Veterinärmedizin,released,Hochschullehrerin für Verterinärmedizin | Dozent/in für Tiermedizin | Hochschullehrer für Verterinärmedizin | Universitätsassistent/in für Klinische Veterinärmedizin | UniversitätsprofessorIn für Tiermedizin,"Hochschullehrkräfte für Veterinärmedizin sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen und oft Ärzte/Ärztinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Veterinärmedizin, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen veterinärmedizinischen Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,Hochschullehrkraft für Zahnmedizin,released,Wissenschaftlicher Mitarbeiter für Zahnmedizin | Universitätslehrerin für Zahnmedizin | DozentIn für Implantologie | Wissenschaftliche Mitarbeiterin für Zahnmedizin | Universitätslehrer für Zahnmedizin,"Hochschullehrkräfte für Zahnmedizin sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen und oft Ärzte/Ärztinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Zahnmedizin, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen zahnmedizinischen Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,Klimatologe/Klimatologin,released,Klimatologin | Klimaforscherin | Klimaforscher | Klimatologe,"Klimatologe/Klimatologinnen untersuchen die durchschnittlichen Langzeitwetter- und -klimaveränderungen. Sie erforschen und analysieren historische Wetterverhältnisse, um Klimaverhältnisse zu prognostizieren, z. B. Temperaturschwankungen, globale Erwärmung oder regionale Weiterentwicklungen. Sie nutzen diese Erkenntnisse zur Beratung in den Bereichen Umweltpolitik, Bauwesen, Agrarprojekte und gesellschaftliche Fragen.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,Meteorologe/Meteorologin
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,Toxikologe/Toxikologin,released,Toxikologe | Toxikologin,"Toxikologe/Toxikologin untersuchen die Auswirkungen chemischer Stoffe oder biologischer und physikalischer Wirkstoffe auf lebende Organismen, insbesondere auf die Umwelt und die Gesundheit von Mensch und Tier. Sie bestimmen die Dosen der Exposition gegenüber Stoffen für die sich daraus ergebenden toxischen Wirkungen in Umgebungen, Menschen und lebenden Organismen und führen Versuche an Tieren und Zellkulturen durch.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biologe/Biologin
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,Verhaltensforscher/Verhaltensforscherin,released,Verhaltensforscherin | Verhaltensforscher,"Verhaltensforscher untersuchen, beobachten und beschreiben menschliches Verhalten in der Gesellschaft. Sie ziehen Schlussfolgerungen aus den Motiven menschlichen Handelns, stellen die Voraussetzungen für unterschiedliche Verhaltensweisen fest und beschreiben verschiedene Persönlichkeitsstrukturen. Sie beraten Organisationen und staatliche Einrichtungen in diesem Bereich. Bisweilen analysieren sie auch das Verhalten von Tieren.",http://data.europa.eu/esco/isco/C2632,"Soziologen, Anthropologen und verwandte Wissenschaftler"
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,Hochschullehrkraft für Journalistik,released,Lehrbeauftragte für Journalismus | UniversitätsassistentIn für Publizistik | Hochschuldozent/in für Journalistik | Lehrbeauftragter für Journalismus | Hochschullehrerin für Journalistik | Professor/in für Publizistik | Hochschullehrer für Journalistik,"Hochschullehrkräfte für Journalistik und Medien sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, Journalistik und Medien, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der Journalistik Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
