Bezeichnung,Kurze Beschreibung,Gängige Abkürzungen
"Strahlentherapie","Planung und Durchführung von Bestrahlungsbehandlungen, v.a. bei Tumorerkrankungen.","RT, Radioonkologie, Strahlentherapie"
"Kardiologie","Diagnostik und Therapie von Herz-Kreislauf-Erkrankungen (z.B. KHK, Herzinsuffizienz, Klappenvitien).","Kardiologie, Kardio, Cardio"
"Rhythmologie","Spezialisierte Kardiologie für Herzrhythmusstörungen inkl. Diagnostik, Katheterablation und Device-Therapie.","Rhythmologie, Elektrophysiologie, EP"
"Elektrophysiologie","Invasive und nichtinvasive Diagnostik und Therapie von Herzrhythmusstörungen (z.B. Ablation, Device-Programmierung).","EP, kardiale EP, Rhythmologie"
"Schmerztherapie","Multimodale Behandlung akuter und chronischer Schmerzen, medikamentös, interventionell und psychologisch.","Schmerztherapie, Schmerzmedizin, APS (Akutschmerzdienst)"
"Innere Medizin","Ganzheitliche Diagnostik und Therapie internistischer Erkrankungen (Herz, Lunge, Stoffwechsel, Infektionen etc.).","Innere, Innere Medizin, IM"
"Geburtshilfe","Betreuung von Schwangerschaft, Geburt und Wochenbett, inkl. überwachter und operativer Entbindungen.","Geburtshilfe, Gynäkologie und Geburtshilfe"
"Plastische Chirurgie","Operative Wiederherstellung und Formgebung von Körperstrukturen nach Unfällen, Tumoren oder aus ästhetischen Gründen.","Plastische Chirurgie, Plastische, Hand- und Plastische"
"Angiologie","Diagnostik und Therapie von Gefäßerkrankungen (Arterien, Venen, Lymphgefäße), oft mit Duplexsonographie und Interventionen.","Angiologie, Gefäßmedizin, Gefäßdiagnostik"
"Neuroradiologie","Bildgebung und interventionelle Therapie von Erkrankungen des Gehirns, Rückenmarks und der Gefäße des zentralen Nervensystems.","Neuroradiologie, Neuro-Radiologie"
"Thoraxradiologie","Spezialisierte Bildgebung von Lunge, Pleura und Mediastinum (z.B. CT-Thorax, Röntgen-Thorax, HRCT).","Thoraxradiologie, Thorax-CT, HRCT"
"Nuklearmedizin","Diagnostik und Therapie mit radioaktiven Substanzen (Szintigraphie, PET/CT, Radioligandentherapie).","Nuklearmedizin, NUK, PET/CT"
"Onkologie","Diagnostik und systemische Therapie von Tumorerkrankungen (z.B. Chemotherapie, Immuntherapie).","Onkologie, Tumormedizin"
"Hämato-Onkologie","Diagnostik und Therapie von hämatologischen Erkrankungen und soliden Tumoren.","Hämato-Onkologie, Hämatologie und Onkologie"
"Intensivmedizin","Behandlung kritisch kranker Patienten mit Organversagen, z.B. Beatmung, Kreislaufunterstützung, Organersatzverfahren.","Intensivmedizin, ITS, ICU"
"Palliativmedizin","Behandlung von Patienten mit fortgeschrittenen, nicht heilbaren Erkrankungen mit Fokus auf Symptomkontrolle und Lebensqualität.","Palliativmedizin, Palliativ Care"
"Endoskopie","Diagnostische und therapeutische Spiegelungen des Gastrointestinaltrakts (z.B. Gastroskopie, Koloskopie, ERCP).","Endoskopie, GI-Endoskopie"
"Labormedizin","Analytik von Blut-, Urin- und anderen Proben zur Diagnostik von Stoffwechsel-, Infektions- und Systemerkrankungen.","Labormedizin, Klinische Chemie"
"Mikrobiologie","Diagnostik von bakteriellen, viralen, mykotischen und parasitären Infektionen mittels Kultur, PCR und weiteren Verfahren.","Mikrobiologie, Med. Mikrobiologie"
"Q2 Mammadiagnostik","Erweiterte KV-Zusatzqualifikation für die Mamma-Diagnostik (z.B. Screening-Programm, Abklärungsdiagnostik).","Q2, Q2 Mamma, Q2 Mammadiagnostik"
"Q2 Kardiologie","Erweiterte KV-Zusatzqualifikation für spezielle kardiologische Leistungen (z.B. kardiale Bildgebung, interventionelle Verfahren – abhängig von KV-Regelung).","Q2, Q2 Kardiologie"
"Spezielle Schmerztherapie","Zusatzbezeichnung für vertiefte Kompetenz in der Behandlung chronischer Schmerzen, meist interdisziplinär.","Spezielle Schmerztherapie, ZB Schmerztherapie"
"Palliativmedizinische Zusatzbezeichnung","Zusatzbezeichnung für spezialisierte palliativmedizinische Versorgung, inkl. SAPV-Strukturen.","ZB Palliativmedizin, Palliativ-Zusatzbezeichnung"
"Spezielle Intensivmedizin","Zusatzbezeichnung für Ärztinnen/Ärzte mit vertiefter Qualifikation in der Intensivmedizin.","ZB Intensivmedizin, spezielle Intensivmedizin"
"Notfallmedizinische Zusatzbezeichnung","Ärztliche Zusatzbezeichnung für strukturierte Notfallversorgung, meist Voraussetzung für Notarzttätigkeit.","ZB Notfallmedizin"
"Basismonitoring und Sedierung","Kompetenz in Sedierung und Überwachung bei diagnostischen und kleineren therapeutischen Eingriffen (Endoskopie, Interventionen).","Prozedurale Sedierung, Sedierung, Analgosedierung"
"Spezielle Gastroenterologie","Vertiefung in endoskopischer und funktioneller Diagnostik/Therapie des Gastrointestinaltrakts.","Spezielle Gastroenterologie, ZB Gastroenterologie"
"Diabetologie","Diagnostik und Therapie von Diabetes mellitus inkl. Schulung, Insulinpumpen- und CGM-Therapie.","Diabetologie, DDG (bei Zertifizierung)"
"Kardiovaskuläre Prävention","Prävention von Herz-Kreislauf-Erkrankungen (Risikostratifizierung, Lebensstil, Lipidmanagement).","Präventionsmedizin, kardiovaskuläre Prävention"
"Sportmedizin","Diagnostik, Betreuung und Prävention bei Freizeit- und Leistungssportlern, inkl. Sporttauglichkeitsuntersuchungen.","Sportmedizin, ZB Sportmedizin"
"Akupunktur","Komplementärmedizinische Schmerz- und Funktionsbehandlung mittels Nadeltechniken nach TCM/medizinischer Akupunktur.","Akupunktur, A-Diplom, B-Diplom"
"Manuelle Medizin / Chirotherapie","Diagnostik und Therapie von Funktionsstörungen des Bewegungsapparats durch manuelle Techniken.","Manuelle Medizin, Chirotherapie"
"Psychosomatische Grundversorgung","Basisqualifikation zur Erkennung und Mitbehandlung psychosomatischer Störungen in der Somatik.","PSG, psychosomatische Grundversorgung"
"Psychokardiologie","Betreuung kardiologischer Patienten mit relevanter psychischer Komorbidität (Angst, Depression, Anpassungsstörungen).","Psychokardiologie"
"Onkologische Schwerpunktqualifikation","Vertiefte Erfahrung in der Betreuung von Tumorpatienten inkl. Teilnahme an Tumorkonferenzen.","onkologische Schwerpunktkompetenz, Tumorboard-Teilnahme"
"Tumorkonferenzleitung","Kompetenz zur Leitung interdisziplinärer Tumorboards (moderierte, leitliniengerechte Falldiskussion).","Tumorboard-Leitung, Tumorkonferenzleitung"
"Spezielle Schlaganfallversorgung","Versorgung von Patienten mit akutem Schlaganfall (Stroke Unit-Erfahrung, Thrombolyse-/Thrombektomiepfade).","Stroke Unit, spezielle Schlaganfallversorgung"
"Hypertensiologie","Spezialisierte Diagnostik und Therapie der arteriellen Hypertonie (inkl. sekundärer Hypertonieformen).","Hypertensiologie, DGfH (bei Zertifizierung)"
"Ernährungsmedizin","Diagnostik und Therapie ernährungsbedingter und -assoziierter Erkrankungen, inklusive enteraler/parenteraler Ernährung.","Ernährungsmedizin, ZB Ernährungsmedizin"
"Infektiologie","Diagnostik und Therapie komplexer Infektionskrankheiten (inkl. Antibiotic Stewardship, Resistenzmanagement).","Infektiologie, ZB Infektiologie"
"Antibiotic Stewardship (ABS)","Spezialisierte Qualifikation zum rationalen Einsatz von Antibiotika und Resistenzvermeidung im Krankenhaus.","ABS-Experte, Antibiotic Stewardship"
"Krankenhaushygiene","Hygienemanagement, Prävention nosokomialer Infektionen, Ausbruchsmanagement.","Krankenhaushygiene, Hygienebeauftragter Arzt"
"Transfusionsmedizinische Grundkenntnisse","Sichere Indikationsstellung, Anforderung und Anwendung von Blutprodukten, Hämotherapie.","Hämotherapie, transfusionsmedizinische Grundkenntnisse"
"Ultraschall Abdomen","Spezifische Sonographie-Kompetenz für Abdomen und Retroperitoneum (ggf. mit DEGUM-Stufe).","Abdomen-Sonographie, DEGUM Abdomen"
"Ultraschall Gefäße","Sonographische Diagnostik der arteriellen und venösen Gefäße (Duplex, Doppler).","Gefäßsonographie, Duplexsonographie"
"Ultraschall Notfallsonographie (FAST/FEEL/FATE)","Standardisierte fokussierte Ultraschalluntersuchungen in Notfall- und Intensivmedizin.","FAST, FEEL, FATE, Notfallsonographie"
"Echokardiographie transthorakal (TTE)","Nichtinvasive Ultraschallbildgebung des Herzens über den Thorax.","TTE, Echokardiographie"
"Echokardiographie transösophageal (TEE)","Semiinvasive Ultraschallbildgebung des Herzens über die Speiseröhre.","TEE, transösophageale Echokardiographie"
"Funktionsdiagnostik Kardiologie","Belastungsuntersuchungen, Langzeit-EKG, Langzeit-RR, Schrittmacher-/ICD-Kontrollen.","kardiale Funktionsdiagnostik"
"Schockraummanagement","Strukturiertes interdisziplinäres Vorgehen bei polytraumatisierten oder kritisch kranken Patienten im Schockraum.","Schockraum-Management, ATLS-orientiertes Management"
"Polytrauma-Versorgung","Versorgung schwerverletzter Patienten nach standardisierten Algorithmen inkl. Damage Control.","Polytrauma-Versorgung, Trauma-Management"
"Beatmungsmanagement","Einstellung, Überwachung und Entwöhnung von invasiv/nicht-invasiv beatmeten Patienten.","Beatmungsmanagement, Ventilationsmanagement"
"ECMO/Extrakorporale Verfahren","Indikation, Überwachung und Management von ECMO, CRRT und anderen Organersatzverfahren.","ECMO, CRRT, extrakorporale Verfahren"
